frame_idx,timestamp,ssim_loss,frame_diff_mean,brightness_delta,saturation_delta,optical_flow_magnitude_mean,optical_flow_angle_change,warp_ssim_loss,z_ssim_loss,z_frame_diff_mean,z_brightness_delta,z_saturation_delta,z_optical_flow_magnitude_mean,z_optical_flow_angle_change,z_warp_ssim_loss,instability_score,is_anomaly
11,0.4583333363636364,0.09149188366671968,4.459415187757202,0.41440441743826284,0.367469135802466,1.1016651,0.83008665,0.1515009218780452,0.05953885618686481,0.2302669602038591,0.7197295944480047,0.0,0.21345952145589714,0.0,0.08119499340305512,0.17264289232704197,False
12,0.5000000033057852,0.05925992328533414,3.2497161136831276,0.05049286265432329,0.21658854166666686,0.8732141,1.4748611,0.08736436792863922,0.0,0.0,0.0,0.0,0.0,1.2872198944920956,0.0,0.10297759155936766,False
13,0.5416666702479339,0.06505167217786312,3.561722929526749,0.06974681712962649,0.1863541666666606,0.92576253,2.070598,0.10599732939880846,0.0,0.0,0.0,0.0,0.0,2.8419056601775816,0.0,0.22735245281420655,False
14,0.5833333371900826,0.1323025747304255,5.997032375257201,0.357786940586422,0.599201871141986,1.4182361,0.57137084,0.2075876938096045,1.0529244936460547,1.341305175312764,0.4630849162577023,0.3214486712198536,1.3937891381983376,0.0,1.0172446285809555,0.9436821105457465,False
15,0.6250000041322314,0.08152234536096015,3.9887496784979426,0.3479687500000068,0.921593364197534,1.0733176,2.5180893,0.12819487411091757,0.0,0.0,0.41857946487463427,1.1880743614241658,0.10776637547218527,4.009717668857921,0.0,0.4727686014761363,False
16,0.6666666710743802,0.07529746031215412,4.119244630915638,0.25182725694445196,0.55941840277778,1.0912961,0.92673075,0.11939516617711698,0.0,0.0,0.0,0.2145060983774896,0.1747986473286821,0.0,0.0,0.041632298496214665,False
17,0.708333338016529,0.0480573098706244,2.681671489197531,0.0870519868827131,0.4238353587962962,0.86932683,2.3572364,0.07538449177025652,0.0,0.0,0.0,0.0,0.0,3.5899421027569898,0.0,0.2871953682205592,False
18,0.7500000049586777,0.05178906455603682,2.9688919431584364,0.1735011574074008,0.7926147762345579,0.8715032,1.408294,0.08195827058112193,0.0,0.0,0.0,0.8413649716831259,0.0,1.1135004579381882,0.0,0.15638923436970512,False
19,0.7916666719008265,0.08316250151605853,4.047982574588477,0.23053481867283665,0.2822424768518488,1.0460168,0.72241926,0.14417200168064692,0.0,0.0,0.0,0.0,0.005975674532700357,0.0,0.0,0.00083659443457805,False
20,0.8333333388429752,0.1212270219187469,4.702884355709877,0.2121045524691425,0.13345003858024995,1.2585667,1.4052185,0.1698108613320899,0.7833310414580582,0.4061908195332413,0.0,0.0,0.7984644796541753,1.105474419995089,0.3867752854370146,0.5230252144753509,False
21,0.875000005785124,0.13679087351170482,5.531880947788066,0.21941358024692192,0.04642746913580709,1.3346455,0.73383856,0.21165413272589007,1.1621755607007274,1.0052000537441568,0.0,0.0,1.0821228982191429,0.0,1.085110696335882,0.8051339780459646,False
22,0.9166666727272728,0.1215419645858925,5.273224987139917,0.1431766010802562,0.485894579475314,1.2514622,0.59107137,0.18586550017097714,0.7909971582037205,0.8183026522439552,0.0,0.016865541822912878,0.7719754116244723,0.0,0.6547161618773885,0.5616828855574673,False
23,0.9583333396694216,0.06774456925071537,3.137501607510288,0.6850265239197597,1.2394372106481484,0.7740232,2.556012,0.11239746157958219,0.0,0.0,1.94644839738716,2.042475450599297,0.0,4.10868379693974,0.0,0.686737579541839,False
24,1.0000000066115704,0.09345091235851688,4.436321534207819,0.04037760416666458,0.31539785879628823,1.0081537,0.6045005,0.15883289799390143,0.10722417871090577,0.21358014645825651,0.0,0.0,0.0,0.0,0.2035606302907529,0.10274587173703602,False
25,1.041666673553719,0.12432652242745723,5.325644129372428,0.2814289158950629,0.25398533950617264,1.159884,0.8472935,0.19041757905065426,0.8587769407652752,0.856179225618008,0.11695715211443215,0.0,0.43052747116823575,0.0,0.7306872264953043,0.561150194053659,False
26,1.0833333404958678,0.08947233470467708,4.2531897826646095,0.7706732253086415,1.3181187307098838,0.9921496,0.98819447,0.14653026323313867,0.010380391070284285,0.08125437901860574,2.3346813483809097,2.2539804936870107,0.0,0.017172731538763593,0.0,0.4320698671149645,False
27,1.1250000074380166,0.08394209521365859,4.069873488940329,0.05260513117283949,0.18394675925925696,0.92905045,0.75773996,0.14432530376612107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
28,1.1666666743801652,0.1597824070300483,6.829396701388889,0.4405888310185162,0.2328853202160417,1.7262915,0.87969446,0.22204291713796653,1.7218195800737732,1.9427478378582343,0.8384224569803875,0.0,2.5423684976185332,0.0,1.2584923605673768,1.4199672259088212,True
29,1.208333341322314,0.0336575717937837,2.073754179526749,0.03637393904321584,0.1183473186728321,0.5935027,2.0292816,0.049844993663407555,0.0,0.0,0.0,0.0,0.0,2.7340831714552674,0.0,0.2187266537164214,False
