dimension,w_ahp,w_entropy,w_combined,eta,ahp_CR
semantic,0.25000000000000006,0.0034155710481575674,0.15136622841926306,0.6,-7.656710514656253e-16
technical,0.4999999999999999,0.488822929756387,0.49552917190255474,0.6,-7.656710514656253e-16
structural,0.25,0.5077614991954554,0.3531045996781822,0.6,-7.656710514656253e-16
